"datetime","excel_code","day","time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"2017-11-01 0:00","43040","43040","0","6.864","4.532","76.2","0.1644","8.27","4.844","73.8","0.0221","6.839","4.35","75.8","0.3039"
"2017-11-01 1:00","43040.04167","43040","0.041666667","6.864","4.089","75.2","0.1644","8.245","4.48","72.2","0.0221","6.813","3.958","77.2","0.3046"
"2017-11-01 2:00","43040.08333","43040","0.083333333","6.864","3.775","76.6","0.1637","8.22","4.168","75.2","0.0221","6.763","4.037","78.1","0.3046"
"2017-11-01 3:00","43040.125","43040","0.125","6.864","3.854","77.4","0.1644","8.195","4.298","75.4","0.0221","6.737","3.827","78.5","0.3039"
"2017-11-01 4:00","43040.16667","43040","0.166666667","6.839","3.591","77.6","0.1637","8.17","4.115","75.6","0.0221","6.712","3.749","79.2","0.3039"
"2017-11-01 5:00","43040.20833","43040","0.208333333","6.813","3.301","78.8","0.1644","8.17","3.906","76.9","0.0221","6.661","3.538","79.8","0.3039"
"2017-11-01 6:00","43040.25","43040","0.25","6.788","3.38","80.2","0.1644","8.17","4.011","77.2","0.0221","6.611","3.354","80.2","0.3039"
"2017-11-01 7:00","43040.29167","43040","0.291666667","6.763","2.744","80.5","0.1644","8.145","3.354","78.3","0.0221","6.535","3.749","80.2","0.3039"
"2017-11-01 8:00","43040.33333","43040","0.333333333","6.712","3.354","82","0.1644","8.12","3.749","78.3","0.0221","6.535","4.35","79.7","0.3039"
"2017-11-01 9:00","43040.375","43040","0.375","6.687","3.932","83","0.1652","8.12","3.88","79.5","0.0221","6.611","5.924","76","0.3046"
"2017-11-01 10:00","43040.41667","43040","0.416666667","6.712","5.642","77.7","0.1717","8.095","4.921","76.4","0.0221","6.889","7.419","70.5","0.3039"
"2017-11-01 11:00","43040.45833","43040","0.458333333","6.788","6.712","69","0.1652","8.095","5.745","71.9","0.0221","7.293","8.245","62.5","0.3039"
"2017-11-01 12:00","43040.5","43040","0.5","6.965","7.167","62.3","0.1644","8.12","6.306","65.4","0.0221","7.72","8.095","62.9","0.3039"
"2017-11-01 13:00","43040.54167","43040","0.541666667","7.167","7.167","63.3","0.1637","8.145","6.306","66.3","0.0221","8.02","7.469","65.1","0.3039"
"2017-11-01 14:00","43040.58333","43040","0.583333333","7.343","7.293","64.9","0.1644","8.195","6.408","68.2","0.0221","8.17","6.914","67.4","0.3046"
"2017-11-01 15:00","43040.625","43040","0.625","7.469","6.737","67.3","0.1652","8.22","6.408","69.8","0.0214","8.195","6.306","73.8","0.3068"
"2017-11-01 16:00","43040.66667","43040","0.666666667","7.544","6.153","75.6","0.171","8.245","5.924","75.9","0.0214","8.145","5.847","82.8","0.3061"
"2017-11-01 17:00","43040.70833","43040","0.708333333","7.569","5.616","86.8","0.171","8.27","5.385","85.3","0.0221","8.095","5.821","87","0.3068"
"2017-11-01 18:00","43040.75","43040","0.75","7.569","5.437","90.5","0.171","8.295","5.565","87.7","0.0214","8.02","5.668","88.7","0.3068"
"2017-11-01 19:00","43040.79167","43040","0.791666667","7.569","5.462","91.4","0.171","8.319","5.514","88","0.0214","7.92","5.591","89.8","0.3068"
"2017-11-01 20:00","43040.83333","43040","0.833333333","7.519","5.462","91.6","0.1695","8.319","5.437","88.7","0.0214","7.845","5.488","90.8","0.3068"
"2017-11-01 21:00","43040.875","43040","0.875","7.494","5.36","93","0.1695","8.319","5.308","89.9","0.0214","7.77","5.514","92","0.3075"
"2017-11-01 22:00","43040.91667","43040","0.916666667","7.469","5.385","95.4","0.1688","8.344","5.334","92","0.0214","7.745","5.847","93.2","0.3075"
"2017-11-01 23:00","43040.95833","43040","0.958333333","7.469","5.591","95.9","0.1681","8.344","5.642","92.9","0.0214","7.745","6.128","93.9","0.3075"
"2017-11-02 0:00","43041","43041","0","7.469","5.872","95.6","0.1681","8.344","5.898","92.6","0.0214","7.77","6.128","94.2","0.309"
"2017-11-02 1:00","43041.04167","43041","0.041666667","7.494","5.847","95.7","0.1506","8.369","5.796","93","0.0214","7.77","6.281","94.4","0.3104"
"2017-11-02 2:00","43041.08333","43041","0.083333333","7.519","6","97.2","0.1623","8.394","5.975","94.5","0.0214","7.795","6.382","94.8","0.3126"
"2017-11-02 3:00","43041.125","43041","0.125","7.519","6.281","98","0.1666","8.419","6.153","95.5","0.0214","7.795","6.712","95.3","0.325"
"2017-11-02 4:00","43041.16667","43041","0.166666667","7.544","6.535","98.5","0.1935","8.444","6.408","96.3","0.0228","7.795","6.94","95.8","0.3351"
"2017-11-02 5:00","43041.20833","43041","0.208333333","7.594","6.813","98.6","0.2189","8.444","6.636","96.9","0.0155","7.87","7.67","96.1","0.3329"
"2017-11-02 6:00","43041.25","43041","0.25","7.619","7.544","98.9","0.2218","8.419","7.015","97.3","0.1354","7.995","7.745","96.4","0.3293"
"2017-11-02 7:00","43041.29167","43041","0.291666667","7.67","7.494","99.2","0.2218","8.444","7.318","97.6","0.1441","8.145","8.12","96.6","0.3271"
"2017-11-02 8:00","43041.33333","43041","0.333333333","7.745","7.72","99.3","0.2204","8.494","7.444","97.7","0.1405","8.27","8.767","96.9","0.325"
"2017-11-02 9:00","43041.375","43041","0.375","7.795","8.369","99.3","0.2196","8.543","7.92","97.9","0.1368","8.469","9.928","97","0.3235"
"2017-11-02 10:00","43041.41667","43041","0.416666667","7.895","9.583","99.3","0.2175","8.618","8.717","98.2","0.1347","8.817","13.137","97.1","0.325"
"2017-11-02 11:00","43041.45833","43041","0.458333333","8.045","12.944","99.4","0.2218","8.693","12.485","98.7","0.1441","9.336","13.401","97.1","0.3242"
"2017-11-02 12:00","43041.5","43041","0.5","8.295","13.257","99.4","0.2233","8.792","12.896","99.4","0.1637","9.829","13.978","97.2","0.3228"
"2017-11-02 13:00","43041.54167","43041","0.541666667","8.593","13.906","99.1","0.2211","8.99","13.353","99.5","0.1623","10.271","15.055","97.2","0.322"
"2017-11-02 14:00","43041.58333","43041","0.583333333","8.866","15.175","97.5","0.2167","9.188","14.098","99.4","0.1601","10.858","15.27","97.1","0.3213"
