"datetime","excel_code","day","time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"2017-06-01 0:00","42887","42887","0","15.581","12.509","71.1","0.1899","13.016","13.329","73","0.1514","NA","NA","NA","NA"
"2017-06-01 1:00","42887.04167","42887","0.041666667","15.342","11.102","73.9","0.1899","12.92","12.147","74.6","0.1514","NA","NA","NA","NA"
"2017-06-01 2:00","42887.08333","42887","0.083333333","15.103","11.467","79.1","0.1899","12.847","12.292","79.3","0.1514","NA","NA","NA","NA"
"2017-06-01 3:00","42887.125","42887","0.125","14.912","11.005","81.2","0.1899","12.775","11.807","79.3","0.1514","NA","NA","NA","NA"
"2017-06-01 4:00","42887.16667","42887","0.166666667","14.721","9.657","81.1","0.1891","12.727","10.638","79.5","0.1514","NA","NA","NA","NA"
"2017-06-01 5:00","42887.20833","42887","0.208333333","14.529","8.693","85.3","0.1891","12.63","9.435","81.6","0.1506","NA","NA","NA","NA"
"2017-06-01 6:00","42887.25","42887","0.25","14.266","10.222","85.4","0.1891","12.534","10.247","80.6","0.1506","NA","NA","NA","NA"
"2017-06-01 7:00","42887.29167","42887","0.291666667","14.098","13.185","71.5","0.1891","12.413","11.224","73.4","0.1506","NA","NA","NA","NA"
"2017-06-01 8:00","42887.33333","42887","0.333333333","14.122","14.625","59.6","0.1884","12.316","12.582","66.6","0.1499","NA","NA","NA","NA"
"2017-06-01 9:00","42887.375","42887","0.375","14.361","16.225","52.3","0.1877","12.243","13.882","60","0.1499","NA","NA","NA","NA"
"2017-06-01 10:00","42887.41667","42887","0.416666667","14.721","16.939","48.5","0.1862","12.219","14.936","56.1","0.1492","NA","NA","NA","NA"
"2017-06-01 11:00","42887.45833","42887","0.458333333","15.151","17.272","46.8","0.1848","12.195","15.127","53.7","0.1485","NA","NA","NA","NA"
"2017-06-01 12:00","42887.5","42887","0.5","15.581","17.938","45.1","0.1833","12.195","16.177","51.4","0.1485","NA","NA","NA","NA"
"2017-06-01 13:00","42887.54167","42887","0.541666667","15.963","17.843","43","0.1811","12.195","16.201","49.3","0.147","NA","NA","NA","NA"
"2017-06-01 14:00","42887.58333","42887","0.583333333","16.249","19.032","42.2","0.1797","12.219","17.058","47.5","0.147","NA","NA","NA","NA"
"2017-06-01 15:00","42887.625","42887","0.625","16.415","18.247","40.3","0.1782","12.243","16.392","45.2","0.1463","NA","NA","NA","NA"
"2017-06-01 16:00","42887.66667","42887","0.666666667","16.487","18.2","39.9","0.1768","12.268","17.13","44.4","0.1456","NA","NA","NA","NA"
"2017-06-01 17:00","42887.70833","42887","0.708333333","16.487","18.39","42.1","0.1753","12.243","16.749","45.5","0.1456","NA","NA","NA","NA"
"2017-06-01 18:00","42887.75","42887","0.75","16.392","17.225","43.3","0.1746","12.268","16.939","46.4","0.1448","NA","NA","NA","NA"
"2017-06-01 19:00","42887.79167","42887","0.791666667","16.225","15.247","49.8","0.1746","12.268","16.368","50.2","0.1448","NA","NA","NA","NA"
