"datetime","excel_code","day","time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"2018-01-01 0:00","43101","43101","0","-0.171","-20.931","86.5","0.1216","0.273","-19.746","77.4","0.1085","NA","NA","NA","NA"
"2018-01-01 1:00","43101.04167","43101","0.041666667","-0.171","-20.835","87.9","0.1201","0.246","-20.356","79.1","0.1085","NA","NA","NA","NA"
"2018-01-01 2:00","43101.08333","43101","0.083333333","-0.171","-21.272","88","0.118","0.246","-20.69","79.6","0.1078","NA","NA","NA","NA"
"2018-01-01 3:00","43101.125","43101","0.125","-0.199","-21.866","88.3","0.115","0.246","-20.835","79.8","0.1078","NA","NA","NA","NA"
"2018-01-01 4:00","43101.16667","43101","0.166666667","-0.199","-21.419","87.9","0.1143","0.218","-20.835","79.7","0.1078","NA","NA","NA","NA"
"2018-01-01 5:00","43101.20833","43101","0.208333333","-0.199","-20.931","87.9","0.1121","0.218","-20.786","80","0.1071","NA","NA","NA","NA"
"2018-01-01 6:00","43101.25","43101","0.25","-0.227","-20.356","87.3","0.11","0.19","-19.793","79.9","0.1063","NA","NA","NA","NA"
"2018-01-01 7:00","43101.29167","43101","0.291666667","-0.227","-17.424","87.8","0.1092","0.19","-20.262","80","0.1056","NA","NA","NA","NA"
"2018-01-01 8:00","43101.33333","43101","0.333333333","-0.255","-17.64","88.2","0.1078","0.19","-17.467","81.2","0.1049","NA","NA","NA","NA"
"2018-01-01 9:00","43101.375","43101","0.375","-0.255","-15.064","87.2","0.1071","0.19","-15.345","80.5","0.1042","NA","NA","NA","NA"
"2018-01-01 10:00","43101.41667","43101","0.416666667","-0.255","-12.788","83.7","0.1063","0.163","-13.088","78.8","0.1034","NA","NA","NA","NA"
"2018-01-01 11:00","43101.45833","43101","0.458333333","-0.227","-10.616","77.7","0.1056","0.163","-10.722","75.1","0.1027","NA","NA","NA","NA"
"2018-01-01 12:00","43101.5","43101","0.5","-0.227","-8.73","70.2","0.1056","0.163","-9.439","70.4","0.102","NA","NA","NA","NA"
"2018-01-01 13:00","43101.54167","43101","0.541666667","-0.227","-9.269","67.3","0.1056","0.135","-9.542","68.5","0.102","NA","NA","NA","NA"
"2018-01-01 14:00","43101.58333","43101","0.583333333","-0.227","-9.269","69.6","0.1063","0.135","-9.576","69","0.1012","NA","NA","NA","NA"
"2018-01-01 15:00","43101.625","43101","0.625","-0.199","-9.168","72.2","0.1063","0.135","-9.508","71.4","0.1005","NA","NA","NA","NA"
"2018-01-01 16:00","43101.66667","43101","0.666666667","-0.199","-10.969","90","0.1071","0.135","-10.686","80.1","0.1005","NA","NA","NA","NA"
"2018-01-01 17:00","43101.70833","43101","0.708333333","-0.199","-11.29","80.1","0.1071","0.135","-10.934","70.3","0.0998","NA","NA","NA","NA"
"2018-01-01 18:00","43101.75","43101","0.75","-0.199","-12.528","74.7","0.1071","0.135","-11.722","70.8","0.0998","NA","NA","NA","NA"
"2018-01-01 19:00","43101.79167","43101","0.791666667","-0.199","-12.676","73.7","0.1071","0.135","-12.269","70.3","0.0991","NA","NA","NA","NA"
"2018-01-01 20:00","43101.83333","43101","0.833333333","-0.199","-13.163","73.7","0.1071","0.135","-13.05","70.4","0.0991","NA","NA","NA","NA"
"2018-01-01 21:00","43101.875","43101","0.875","-0.199","-12.9","75.3","0.1071","0.135","-12.9","71.3","0.0983","NA","NA","NA","NA"
"2018-01-01 22:00","43101.91667","43101","0.916666667","-0.199","-12.269","74.8","0.1071","0.135","-12.417","71.2","0.0976","NA","NA","NA","NA"
"2018-01-01 23:00","43101.95833","43101","0.958333333","-0.199","-11.29","74.5","0.1078","0.107","-11.433","71.4","0.0969","NA","NA","NA","NA"
"2018-01-02 0:00","43102","43102","0","-0.199","-11.758","79.1","0.1078","0.107","-11.867","75.3","0.0962","NA","NA","NA","NA"
"2018-01-02 1:00","43102.04167","43102","0.041666667","-0.199","-11.65","83","0.1071","0.107","-11.794","78.2","0.0962","NA","NA","NA","NA"
"2018-01-02 2:00","43102.08333","43102","0.083333333","-0.199","-11.254","83.8","0.1078","0.107","-11.326","79.6","0.0954","NA","NA","NA","NA"
"2018-01-02 3:00","43102.125","43102","0.125","-0.199","-11.326","87.2","0.1078","0.079","-11.361","82.1","0.0947","NA","NA","NA","NA"
"2018-01-02 4:00","43102.16667","43102","0.166666667","-0.199","-10.023","88.6","0.1078","0.079","-10.301","83.7","0.0947","NA","NA","NA","NA"
"2018-01-02 5:00","43102.20833","43102","0.208333333","-0.171","-9.61","86.1","0.1078","0.079","-9.816","82.4","0.094","NA","NA","NA","NA"
"2018-01-02 6:00","43102.25","43102","0.25","-0.171","-9.713","82.8","0.1085","0.079","-9.747","79.3","0.094","NA","NA","NA","NA"
"2018-01-02 7:00","43102.29167","43102","0.291666667","-0.171","-10.863","83.2","0.1085","0.079","-10.934","79.5","0.0933","NA","NA","NA","NA"
"2018-01-02 8:00","43102.33333","43102","0.333333333","-0.171","-11.433","83.1","0.1085","0.079","-11.433","79.3","0.0933","NA","NA","NA","NA"
"2018-01-02 9:00","43102.375","43102","0.375","-0.171","-12.233","82.9","0.1092","0.079","-12.306","79.5","0.0925","NA","NA","NA","NA"
"2018-01-02 10:00","43102.41667","43102","0.416666667","-0.171","-11.076","81.6","0.1092","0.079","-11.29","78.1","0.0918","NA","NA","NA","NA"
"2018-01-02 11:00","43102.45833","43102","0.458333333","-0.171","-10.197","79.9","0.1092","0.079","-10.616","77.5","0.0918","NA","NA","NA","NA"
"2018-01-02 12:00","43102.5","43102","0.5","-0.171","-9.439","78.2","0.1092","0.079","-9.919","76.4","0.0918","NA","NA","NA","NA"
"2018-01-02 13:00","43102.54167","43102","0.541666667","-0.171","-7.869","76","0.1092","0.079","-8.463","75.4","0.0911","NA","NA","NA","NA"
"2018-01-02 14:00","43102.58333","43102","0.583333333","-0.143","-7.706","73.7","0.1092","0.079","-8","73.3","0.0911","NA","NA","NA","NA"
"2018-01-02 15:00","43102.625","43102","0.625","-0.143","-7.155","73.4","0.11","0.051","-7.608","73","0.0904","NA","NA","NA","NA"
"2018-01-02 16:00","43102.66667","43102","0.666666667","-0.143","-7.738","72.8","0.11","0.051","-7.869","72.7","0.0904","NA","NA","NA","NA"
"2018-01-02 17:00","43102.70833","43102","0.708333333","-0.143","-10.371","76.8","0.11","0.051","-10.336","75","0.0904","NA","NA","NA","NA"
"2018-01-02 18:00","43102.75","43102","0.75","-0.143","-10.511","79.2","0.11","0.051","-10.301","76.6","0.0904","NA","NA","NA","NA"
"2018-01-02 19:00","43102.79167","43102","0.791666667","-0.143","-10.371","79.7","0.11","0.051","-10.197","76.8","0.0896","NA","NA","NA","NA"
"2018-01-02 20:00","43102.83333","43102","0.833333333","-0.171","-10.827","78.5","0.11","0.051","-10.792","75.8","0.0896","NA","NA","NA","NA"
"2018-01-02 21:00","43102.875","43102","0.875","-0.171","-11.469","76.9","0.1092","0.051","-11.361","74.6","0.0896","NA","NA","NA","NA"
"2018-01-02 22:00","43102.91667","43102","0.916666667","-0.171","-11.722","76","0.1092","0.051","-11.831","74","0.0889","NA","NA","NA","NA"
"2018-01-02 23:00","43102.95833","43102","0.958333333","-0.199","-11.867","74.8","0.1085","0.051","-11.976","73.1","0.0882","NA","NA","NA","NA"
"2018-01-03 0:00","43103","43103","0","-0.199","-12.233","69.4","0.1085","0.051","-12.306","69.5","0.0882","NA","NA","NA","NA"
"2018-01-03 1:00","43103.04167","43103","0.041666667","-0.227","-12.159","65.6","0.1071","0.051","-12.123","66.5","0.0874","NA","NA","NA","NA"
"2018-01-03 2:00","43103.08333","43103","0.083333333","-0.227","-12.417","66.3","0.1063","0.024","-12.38","65.9","0.0867","NA","NA","NA","NA"
"2018-01-03 3:00","43103.125","43103","0.125","-0.255","-12.565","64.7","0.1056","0.024","-12.602","64.9","0.0867","NA","NA","NA","NA"
"2018-01-03 4:00","43103.16667","43103","0.166666667","-0.283","-11.794","67.4","0.1049","0.024","-11.94","67","0.086","NA","NA","NA","NA"
"2018-01-03 5:00","43103.20833","43103","0.208333333","-0.311","-10.406","70.6","0.1042","0.024","-10.722","69.7","0.086","NA","NA","NA","NA"
"2018-01-03 6:00","43103.25","43103","0.25","-0.311","-10.336","66.6","0.1034","0.024","-10.476","67.2","0.0853","NA","NA","NA","NA"
"2018-01-03 7:00","43103.29167","43103","0.291666667","-0.339","-10.371","53.6","0.1034","-0.004","-10.406","58.2","0.0845","NA","NA","NA","NA"
"2018-01-03 8:00","43103.33333","43103","0.333333333","-0.339","-11.433","55.9","0.1027","-0.004","-11.541","57.8","0.0838","NA","NA","NA","NA"
"2018-01-03 9:00","43103.375","43103","0.375","-0.339","-9.371","59.6","0.1027","-0.004","-9.747","61.4","0.0838","NA","NA","NA","NA"
"2018-01-03 10:00","43103.41667","43103","0.416666667","-0.339","-8.198","65.6","0.1027","-0.004","-8.331","66.9","0.0831","NA","NA","NA","NA"
"2018-01-03 11:00","43103.45833","43103","0.458333333","-0.311","-7.316","69.7","0.1027","-0.004","-7.738","71","0.0824","NA","NA","NA","NA"
"2018-01-03 12:00","43103.5","43103","0.5","-0.311","-6.388","68.3","0.1034","-0.032","-6.834","70.2","0.0824","NA","NA","NA","NA"
"2018-01-03 13:00","43103.54167","43103","0.541666667","-0.283","-6.199","67.4","0.1034","-0.032","-6.642","69.7","0.0816","NA","NA","NA","NA"
"2018-01-03 14:00","43103.58333","43103","0.583333333","-0.283","-5.979","72.1","0.1034","-0.032","-6.483","72.6","0.0816","NA","NA","NA","NA"
"2018-01-03 15:00","43103.625","43103","0.625","-0.255","-6.294","78.3","0.1042","-0.032","-6.706","77.2","0.0816","NA","NA","NA","NA"
"2018-01-03 16:00","43103.66667","43103","0.666666667","-0.255","-6.706","80.2","0.1042","-0.032","-6.93","78.4","0.0816","NA","NA","NA","NA"
"2018-01-03 17:00","43103.70833","43103","0.708333333","-0.255","-6.93","85.6","0.1049","-0.032","-6.994","82.2","0.0809","NA","NA","NA","NA"
"2018-01-03 18:00","43103.75","43103","0.75","-0.255","-7.219","84.7","0.1049","-0.032","-7.251","81.4","0.0809","NA","NA","NA","NA"
"2018-01-03 19:00","43103.79167","43103","0.791666667","-0.227","-7.608","81.3","0.1049","-0.004","-7.673","78.7","0.0809","NA","NA","NA","NA"
"2018-01-03 20:00","43103.83333","43103","0.833333333","-0.227","-8.264","83.6","0.1049","-0.004","-8.297","79.4","0.0809","NA","NA","NA","NA"
"2018-01-03 21:00","43103.875","43103","0.875","-0.255","-8.965","84.5","0.1042","-0.004","-8.999","78.8","0.0809","NA","NA","NA","NA"
"2018-01-03 22:00","43103.91667","43103","0.916666667","-0.255","-9.168","81.7","0.1042","-0.004","-9.134","77.1","0.0809","NA","NA","NA","NA"
"2018-01-03 23:00","43103.95833","43103","0.958333333","-0.283","-9.202","81.4","0.1042","-0.004","-9.269","77.6","0.0809","NA","NA","NA","NA"
"2018-01-04 0:00","43104","43104","0","-0.283","-9.337","81.3","0.1034","-0.032","-9.337","78.2","0.0809","NA","NA","NA","NA"
"2018-01-04 1:00","43104.04167","43104","0.041666667","-0.283","-9.235","81.7","0.1034","-0.032","-9.337","78.9","0.0802","NA","NA","NA","NA"
"2018-01-04 2:00","43104.08333","43104","0.083333333","-0.311","-9.405","82.6","0.1034","-0.032","-9.405","79.3","0.0802","NA","NA","NA","NA"
"2018-01-04 3:00","43104.125","43104","0.125","-0.283","-9.405","83.7","0.1034","-0.032","-9.371","80","0.0802","NA","NA","NA","NA"
"2018-01-04 4:00","43104.16667","43104","0.166666667","-0.283","-10.441","84.8","0.1034","-0.032","-9.235","80.4","0.0802","NA","NA","NA","NA"
"2018-01-04 5:00","43104.20833","43104","0.208333333","-0.283","-9.473","85.2","0.1034","-0.032","-8.965","79.3","0.0795","NA","NA","NA","NA"
"2018-01-04 6:00","43104.25","43104","0.25","-0.283","-9.816","84.5","0.1034","-0.032","-9.473","78.8","0.0795","NA","NA","NA","NA"
"2018-01-04 7:00","43104.29167","43104","0.291666667","-0.311","-11.613","80.5","0.1034","-0.032","-11.147","76","0.0787","NA","NA","NA","NA"
"2018-01-04 8:00","43104.33333","43104","0.333333333","-0.311","-12.565","76.4","0.1027","-0.032","-12.196","72.1","0.0787","NA","NA","NA","NA"
"2018-01-04 9:00","43104.375","43104","0.375","-0.339","-12.565","76","0.102","-0.032","-12.9","72.8","0.078","NA","NA","NA","NA"
"2018-01-04 10:00","43104.41667","43104","0.416666667","-0.339","-10.969","73","0.102","-0.06","-11.326","71.5","0.078","NA","NA","NA","NA"
"2018-01-04 11:00","43104.45833","43104","0.458333333","-0.367","-9.439","63.9","0.1012","-0.06","-10.336","66.3","0.0773","NA","NA","NA","NA"
"2018-01-04 12:00","43104.5","43104","0.5","-0.339","-8.463","58.3","0.1012","-0.06","-10.162","62.1","0.0766","NA","NA","NA","NA"
"2018-01-04 13:00","43104.54167","43104","0.541666667","-0.311","-10.127","57.2","0.1012","-0.06","-10.476","61.6","0.0766","NA","NA","NA","NA"
"2018-01-04 14:00","43104.58333","43104","0.583333333","-0.311","-10.686","58.3","0.1012","-0.06","-10.969","61.2","0.0766","NA","NA","NA","NA"
"2018-01-04 15:00","43104.625","43104","0.625","-0.311","-11.613","59.3","0.1012","-0.06","-11.867","61.7","0.0758","NA","NA","NA","NA"
"2018-01-04 16:00","43104.66667","43104","0.666666667","-0.339","-12.528","59.3","0.1005","-0.06","-12.491","60.9","0.0758","NA","NA","NA","NA"
"2018-01-04 17:00","43104.70833","43104","0.708333333","-0.339","-13.772","62.3","0.0998","-0.088","-13.543","62.6","0.0758","NA","NA","NA","NA"
"2018-01-04 18:00","43104.75","43104","0.75","-0.367","-15.184","63.9","0.0991","-0.088","-14.826","63.4","0.0751","NA","NA","NA","NA"
