"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"12/1/2014 0:00","41974","41974","0","4.895","5.385","84.6","0.208","5.565","5.257","87.5","0.1535","6.687","5.514","89.3","0.3162"
"12/1/2014 1:00","41974.04167","41974","0.041666667","4.766","4.037","80.2","0.2095","5.488","3.958","82.2","0.1535","6.331","4.168","83.3","0.3162"
"12/1/2014 2:00","41974.08333","41974","0.083333333","4.61","3.591","79.6","0.2073","5.411","3.538","81.7","0.1528","5.924","3.67","82.8","0.3155"
"12/1/2014 3:00","41974.125","41974","0.125","4.454","2.77","77.9","0.2095","5.308","2.717","80","0.1528","5.565","2.983","81.3","0.3155"
"12/1/2014 4:00","41974.16667","41974","0.166666667","4.272","2.316","75.5","0.208","5.179","2.316","77.3","0.1528","5.179","2.45","77.9","0.3155"
"12/1/2014 5:00","41974.20833","41974","0.208333333","4.115","1.615","73.5","0.208","5.076","1.561","75.6","0.1528","4.818","1.751","76","0.3155"
"12/1/2014 6:00","41974.25","41974","0.25","3.932","1.071","70.3","0.2073","4.947","1.235","72.1","0.1528","4.402","1.425","71.5","0.3155"
"12/1/2014 7:00","41974.29167","41974","0.291666667","3.749","0.989","70.6","0.208","4.818","1.099","72.4","0.1528","4.063","1.235","71.5","0.3155"
"12/1/2014 8:00","41974.33333","41974","0.333333333","3.591","0.77","69.7","0.208","4.714","0.825","71.6","0.1521","3.749","0.989","70.8","0.3155"
"12/1/2014 9:00","41974.375","41974","0.375","3.433","0.577","68.4","0.2087","4.61","0.495","69.8","0.1521","3.564","0.77","69.3","0.3155"
"12/1/2014 10:00","41974.41667","41974","0.416666667","3.327","1.153","65.4","0.208","4.506","0.715","67.5","0.1528","3.459","1.371","66.2","0.3155"
"12/1/2014 11:00","41974.45833","41974","0.458333333","3.248","1.561","62.2","0.208","4.402","0.852","64.3","0.1521","3.459","1.805","62.3","0.3155"
"12/1/2014 12:00","41974.5","41974","0.5","3.221","1.967","59.6","0.208","4.35","1.18","62","0.1521","3.564","1.751","59.2","0.3155"
