"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"1/1/2012 0:00","40909","40909","0","0.301","1.153","87.2","0.232","2.021","1.208","88.1","0.248","1.994","0.934","90.8","0.4739"
"1/1/2012 1:00","40909.04167","40909","0.041666667","0.301","1.262","87.5","0.2313","2.047","1.017","89.2","0.248","1.967","1.071","92.2","0.4746"
"1/1/2012 2:00","40909.08333","40909","0.083333333","0.301","1.643","87.4","0.2313","2.047","1.453","89","0.248","1.967","1.208","92.6","0.4746"
"1/1/2012 3:00","40909.125","40909","0.125","0.301","2.396","89","0.2305","2.074","2.637","90.2","0.248","1.94","2.209","93.1","0.4746"
"1/1/2012 4:00","40909.16667","40909","0.166666667","0.301","2.664","90.3","0.2305","2.101","2.983","91.4","0.2472","1.94","2.557","93.6","0.4746"
"1/1/2012 5:00","40909.20833","40909","0.208333333","0.301","3.142","91.1","0.2305","2.155","2.93","92.4","0.2472","1.94","2.744","94.1","0.4746"
"1/1/2012 6:00","40909.25","40909","0.25","0.301","3.354","91","0.2313","2.209","3.459","92.4","0.2465","1.94","3.168","94.5","0.4746"
"1/1/2012 7:00","40909.29167","40909","0.291666667","0.301","4.037","88.6","0.2305","2.262","4.037","90.1","0.2465","1.94","3.406","93.6","0.4746"
"1/1/2012 8:00","40909.33333","40909","0.333333333","0.329","3.985","86.5","0.2313","2.316","3.827","88.1","0.2458","1.94","3.195","91.7","0.4739"
"1/1/2012 9:00","40909.375","40909","0.375","0.329","4.376","87.2","0.2313","2.37","3.985","89.2","0.2458","1.94","3.459","92.4","0.4746"
"1/1/2012 10:00","40909.41667","40909","0.416666667","0.329","4.74","85.5","0.232","2.423","4.48","87.7","0.2458","1.94","4.792","91.2","0.4739"
"1/1/2012 11:00","40909.45833","40909","0.458333333","0.356","3.88","86.5","0.2371","2.503","3.775","88.3","0.2458","1.967","3.88","90.3","0.4739"
"1/1/2012 12:00","40909.5","40909","0.5","0.356","3.485","90.2","0.2472","2.584","3.354","91.9","0.2465","1.967","3.485","92.7","0.4739"
"1/1/2012 13:00","40909.54167","40909","0.541666667","0.356","3.985","91.6","0.2516","2.637","3.512","93.4","0.2443","1.994","3.906","94.1","0.4746"
"1/1/2012 14:00","40909.58333","40909","0.583333333","0.356","5.745","92.5","0.256","2.717","5.591","94.3","0.2414","1.994","5.745","95","0.4746"
"1/1/2012 15:00","40909.625","40909","0.625","0.384","6.813","91.3","0.256","2.797","6.788","93.2","0.2436","1.994","6.914","94.3","0.4746"
"1/1/2012 16:00","40909.66667","40909","0.666666667","0.412","6.914","88.9","0.2567","2.903","6.763","90.1","0.2429","1.94","6.914","91.5","0.4739"
"1/1/2012 17:00","40909.70833","40909","0.708333333","0.412","6.102","85.2","0.2523","3.036","6.077","86.3","0.2487","1.832","6.179","88.1","0.4739"
"1/1/2012 18:00","40909.75","40909","0.75","0.439","5.385","84.9","0.2472","3.116","5.36","86.2","0.2494","1.751","5.437","87.7","0.4739"
"1/1/2012 19:00","40909.79167","40909","0.791666667","0.467","3.88","83.6","0.2458","3.168","3.827","84.9","0.2494","1.67","3.775","87.1","0.4746"
"1/1/2012 20:00","40909.83333","40909","0.833333333","0.495","3.301","81.2","0.2436","3.168","3.221","82.6","0.2494","1.588","3.327","84.5","0.4739"
"1/1/2012 21:00","40909.875","40909","0.875","0.522","2.956","80.7","0.2414","3.142","2.823","82.1","0.2487","1.48","2.77","84.1","0.4746"
"1/1/2012 22:00","40909.91667","40909","0.916666667","0.522","2.074","80.6","0.24","3.063","2.021","82.1","0.2487","1.425","2.047","83.7","0.4746"
"1/1/2012 23:00","40909.95833","40909","0.958333333","0.522","1.289","81.9","0.2392","3.009","1.18","83.6","0.248","1.398","1.425","84.6","0.4746"
"1/2/2012 0:00","40910","40910","0","0.522","0.715","85.2","0.2385","2.93","0.66","86.8","0.248","1.344","0.77","88","0.4746"
"1/2/2012 1:00","40910.04167","40910","0.041666667","0.522","-0.171","83.7","0.2378","2.877","-0.255","85.1","0.2472","1.398","-0.115","86.9","0.4746"
"1/2/2012 2:00","40910.08333","40910","0.083333333","0.522","-0.451","88.2","0.2371","2.797","-0.507","90","0.2472","1.425","-0.283","90.2","0.4746"
"1/2/2012 3:00","40910.125","40910","0.125","0.522","-0.171","84.8","0.2356","2.717","-0.059","86.3","0.2472","1.48","-0.031","87.3","0.4746"
"1/2/2012 4:00","40910.16667","40910","0.166666667","0.495","-0.619","82.5","0.2349","2.664","-0.675","83.3","0.2465","1.507","-0.451","85","0.4746"
"1/2/2012 5:00","40910.20833","40910","0.208333333","0.495","-0.395","83.2","0.2342","2.61","-0.339","84.1","0.2465","1.507","-0.283","85.9","0.4753"
"1/2/2012 6:00","40910.25","40910","0.25","0.495","-0.199","80.7","0.2334","2.557","-0.227","81.3","0.2458","1.507","-0.115","83.5","0.4753"
"1/2/2012 7:00","40910.29167","40910","0.291666667","0.522","-1.241","78","0.232","2.503","-1.071","78.1","0.2458","1.507","-1.071","80.3","0.4753"
"1/2/2012 8:00","40910.33333","40910","0.333333333","0.522","-1.099","77.6","0.2313","2.45","-1.099","77.8","0.2451","1.48","-0.986","80.2","0.4753"
"1/2/2012 9:00","40910.375","40910","0.375","0.522","-1.27","77","0.2305","2.396","-1.327","77.8","0.2451","1.507","-1.071","79.8","0.4753"
"1/2/2012 10:00","40910.41667","40910","0.416666667","0.522","-1.128","76.2","0.2298","2.343","-1.27","77.3","0.2451","1.534","-0.901","78.8","0.4746"
"1/2/2012 11:00","40910.45833","40910","0.458333333","0.495","-1.813","73.8","0.2313","2.262","-2.217","79.3","0.2414","1.561","-1.871","77","0.4746"
"1/2/2012 12:00","40910.5","40910","0.5","0.522","0.246","72.4","0.2305","2.236","-1.099","74.2","0.2407","1.588","-0.339","75","0.4746"
"1/2/2012 13:00","40910.54167","40910","0.541666667","0.522","-1.612","64.6","0.2291","2.209","-1.756","66.8","0.2414","1.67","-1.355","67.1","0.4753"
"1/2/2012 14:00","40910.58333","40910","0.583333333","0.522","-1.469","64.2","0.2284","2.155","-1.756","66.3","0.2407","1.778","-1.071","65.7","0.4753"
"1/2/2012 15:00","40910.625","40910","0.625","0.522","-0.845","64.7","0.2276","2.101","-1.641","66.4","0.2407","1.859","-0.788","65.6","0.4746"
"1/2/2012 16:00","40910.66667","40910","0.666666667","0.522","-2.858","63.9","0.2262","2.074","-2.858","66","0.24","1.94","-2.595","65.7","0.4746"
"1/2/2012 17:00","40910.70833","40910","0.708333333","0.522","-3.986","65.1","0.2254","1.994","-3.746","66.5","0.24","1.967","-3.567","66.7","0.4746"
"1/2/2012 18:00","40910.75","40910","0.75","0.495","-4.987","68.6","0.2247","1.94","-4.803","69.5","0.24","1.967","-4.59","70.1","0.4753"
"1/2/2012 19:00","40910.79167","40910","0.791666667","0.495","-6.041","65.6","0.2233","1.859","-5.791","66.5","0.2392","1.94","-5.697","67.6","0.4753"
"1/2/2012 20:00","40910.83333","40910","0.833333333","0.467","-6.42","66.1","0.2218","1.778","-6.104","66.9","0.2385","1.913","-5.947","67.6","0.4753"
"1/2/2012 21:00","40910.875","40910","0.875","0.439","-7.09","65.3","0.2211","1.697","-6.769","66.2","0.2385","1.886","-6.642","66.9","0.4753"
"1/2/2012 22:00","40910.91667","40910","0.916666667","0.412","-7.869","66.7","0.2204","1.615","-7.575","66.6","0.2385","1.859","-7.412","68.1","0.4753"
"1/2/2012 23:00","40910.95833","40910","0.958333333","0.384","-8.864","70.4","0.2189","1.534","-8.463","70.4","0.2378","1.832","-8.198","72.7","0.4753"
"1/3/2012 0:00","40911","40911","0","0.356","-9.712","76.1","0.2182","1.453","-9.473","77","0.2378","1.832","-9.235","78.1","0.4753"
"1/3/2012 1:00","40911.04167","40911","0.041666667","0.356","-10.475","76.1","0.2167","1.398","-10.335","76.7","0.2378","1.805","-9.919","78.3","0.476"
"1/3/2012 2:00","40911.08333","40911","0.083333333","0.329","-11.289","74.8","0.216","1.317","-10.969","75.3","0.2371","1.778","-10.792","77.2","0.4753"
"1/3/2012 3:00","40911.125","40911","0.125","0.301","-11.577","74.7","0.2146","1.235","-11.146","74.8","0.2371","1.751","-10.792","77.1","0.4753"
"1/3/2012 4:00","40911.16667","40911","0.166666667","0.301","-11.867","74.8","0.2131","1.18","-11.361","74.9","0.2371","1.697","-11.146","76.9","0.4746"
"1/3/2012 5:00","40911.20833","40911","0.208333333","0.273","-11.649","76.1","0.2124","1.126","-11.433","76.2","0.2363","1.67","-11.004","78.1","0.4739"
"1/3/2012 6:00","40911.25","40911","0.25","0.273","-12.713","75.5","0.2109","1.071","-12.232","75.6","0.2356","1.588","-12.049","77.8","0.4746"
"1/3/2012 7:00","40911.29167","40911","0.291666667","0.246","-13.81","76.6","0.2095","1.044","-12.825","75.9","0.2356","1.534","-12.564","78.7","0.4739"
"1/3/2012 8:00","40911.33333","40911","0.333333333","0.218","-14.785","76","0.2051","0.989","-14.275","75","0.2356","1.48","-13.81","78.1","0.4731"
"1/3/2012 9:00","40911.375","40911","0.375","0.218","-14.746","72.6","0.2029","0.934","-14.984","72","0.2342","1.425","-14.667","74.6","0.4731"
"1/3/2012 10:00","40911.41667","40911","0.416666667","0.19","-15.064","65.6","0.1993","0.88","-15.024","66.3","0.2342","1.344","-14.51","68.3","0.4717"
"1/3/2012 11:00","40911.45833","40911","0.458333333","0.163","-13.887","60.7","0.1971","0.852","-14.588","62.4","0.2342","1.289","-13.964","64","0.4702"
"1/3/2012 12:00","40911.5","40911","0.5","0.163","-14.353","58.9","0.1942","0.825","-15.465","61.4","0.2334","1.289","-14.785","62","0.4688"
"1/3/2012 13:00","40911.54167","40911","0.541666667","0.163","-14.197","58.2","0.1913","0.77","-14.667","60.9","0.2334","1.317","-13.163","61.4","0.4673"
"1/3/2012 14:00","40911.58333","40911","0.583333333","0.135","-14.431","56.7","0.1884","0.742","-14.353","58.4","0.2327","1.344","-13.012","58","0.4659"
"1/3/2012 15:00","40911.625","40911","0.625","0.107","-14.042","54.2","0.1855","0.715","-14.042","55.6","0.232","1.453","-13.012","54.8","0.4637"
"1/3/2012 16:00","40911.66667","40911","0.666666667","0.107","-13.81","54","0.1833","0.687","-13.733","55.9","0.2313","1.507","-13.238","56.3","0.4615"
"1/3/2012 17:00","40911.70833","40911","0.708333333","0.107","-14.353","56.8","0.1804","0.66","-13.657","57.5","0.2305","1.507","-13.504","60.1","0.4579"
"1/3/2012 18:00","40911.75","40911","0.75","0.079","-15.344","61.9","0.1775","0.632","-13.657","61.8","0.2298","1.507","-13.887","64.2","0.455"
"1/3/2012 19:00","40911.79167","40911","0.791666667","0.079","-14.314","64.3","0.1746","0.605","-13.428","62.2","0.2276","1.48","-13.39","65.3","0.4499"
