"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"11/1/2011 0:00","40848","40848","0","7.268","6.965","87.5","0.192","8.145","7.318","87.4","0.1964","7.695","6.914","91","0.3592"
"11/1/2011 1:00","40848.04167","40848","0.041666667","7.268","6.611","89.8","0.1884","8.17","6.965","90.3","0.1964","7.569","6.026","92.2","0.3592"
"11/1/2011 2:00","40848.08333","40848","0.083333333","7.242","6.458","91.1","0.1891","8.17","6.94","91.4","0.1964","7.469","6.204","93.4","0.3592"
"11/1/2011 3:00","40848.125","40848","0.125","7.192","5.282","91.6","0.1891","8.17","6","91.8","0.1964","7.343","4.584","93.9","0.3592"
"11/1/2011 4:00","40848.16667","40848","0.166666667","7.066","4.921","92.2","0.1884","8.17","6.026","92.5","0.1957","6.94","4.74","94.4","0.3597"
"11/1/2011 5:00","40848.20833","40848","0.208333333","6.813","4.246","92.6","0.1877","8.145","5.257","92.4","0.1964","6.585","4.74","94.9","0.3597"
"11/1/2011 6:00","40848.25","40848","0.25","6.611","4.141","92.8","0.187","8.12","4.818","92.8","0.1964","6.382","4.714","95.1","0.3597"
"11/1/2011 7:00","40848.29167","40848","0.291666667","6.433","3.063","93","0.1855","8.07","4.115","93.1","0.1964","6.179","3.301","95.1","0.3597"
"11/1/2011 8:00","40848.33333","40848","0.333333333","6.281","4.22","93.1","0.187","8.02","4.558","93.2","0.1964","5.924","5.437","95.5","0.3597"
"11/1/2011 9:00","40848.375","40848","0.375","6.204","8.27","93.4","0.1877","8.02","6.839","93.6","0.1964","6.026","7.995","95.7","0.3592"
"11/1/2011 10:00","40848.41667","40848","0.416666667","6.433","10.59","85.7","0.1906","8.07","9.608","87.3","0.1964","6.661","10.834","88.1","0.3588"
"11/1/2011 11:00","40848.45833","40848","0.458333333","6.914","11.029","80.6","0.1913","8.22","10.149","82.9","0.1964","7.619","11.565","81.3","0.3588"
"11/1/2011 12:00","40848.5","40848","0.5","7.368","12.799","75.2","0.192","8.419","11.321","79.6","0.1964","8.469","14.361","74.9","0.358"
"11/1/2011 13:00","40848.54167","40848","0.541666667","7.795","12.001","66.9","0.1935","8.693","11.297","71.1","0.1964","9.41","13.305","65.1","0.3584"
"11/1/2011 14:00","40848.58333","40848","0.583333333","8.07","13.93","62.4","0.1913","8.841","12.678","66","0.1964","10.075","14.864","59.2","0.358"
"11/1/2011 15:00","40848.625","40848","0.625","8.195","12.292","59.5","0.1935","8.916","12.582","61.9","0.1957","10.271","13.209","57.2","0.3584"
"11/1/2011 16:00","40848.66667","40848","0.666666667","8.27","10.443","65.8","0.1942","8.965","10.834","65.6","0.1949","10.075","10.712","66.7","0.3584"
"11/1/2011 17:00","40848.70833","40848","0.708333333","8.245","8.469","75.4","0.1928","8.965","9.903","74.3","0.1949","9.682","7.895","78.3","0.3588"
"11/1/2011 18:00","40848.75","40848","0.75","8.045","7.343","80.8","0.192","8.941","8.195","80.2","0.1949","9.064","5.924","86.3","0.3592"
"11/1/2011 19:00","40848.79167","40848","0.791666667","7.72","6.99","83.8","0.1928","8.891","7.695","84.2","0.1949","8.469","5.77","90.7","0.3597"
"11/1/2011 20:00","40848.83333","40848","0.833333333","7.444","5.821","83.3","0.1906","8.866","7.066","86.2","0.1942","8.02","4.999","91.4","0.3597"
"11/1/2011 21:00","40848.875","40848","0.875","7.192","4.973","85.6","0.1913","8.792","6","85.7","0.1949","7.544","3.932","92","0.3597"
"11/1/2011 22:00","40848.91667","40848","0.916666667","6.965","4.454","87.4","0.1906","8.742","5.102","87.8","0.1942","7.142","4.115","93.1","0.3597"
"11/1/2011 23:00","40848.95833","40848","0.958333333","6.763","3.827","90.1","0.1891","8.643","4.688","90","0.1942","6.839","3.564","93.7","0.3601"
"11/2/2011 0:00","40849","40849","0","6.56","3.248","91.1","0.1884","8.568","4.011","90.8","0.1942","6.535","3.036","94","0.3601"
"11/2/2011 1:00","40849.04167","40849","0.041666667","6.382","2.77","91.6","0.187","8.469","3.775","91.4","0.1942","6.255","2.236","94.3","0.3597"
"11/2/2011 2:00","40849.08333","40849","0.083333333","6.23","2.584","92","0.1855","8.369","3.168","91.5","0.1942","5.949","2.209","94.6","0.3601"
"11/2/2011 3:00","40849.125","40849","0.125","6.077","2.316","92.2","0.1855","8.295","3.009","91.9","0.1942","5.719","1.859","94.7","0.3601"
"11/2/2011 4:00","40849.16667","40849","0.166666667","5.949","1.994","92.4","0.1855","8.195","2.69","91.8","0.1942","5.488","1.751","94.9","0.3597"
"11/2/2011 5:00","40849.20833","40849","0.208333333","5.821","1.859","92.5","0.1855","8.12","2.53","92.1","0.1935","5.308","1.778","95","0.3597"
"11/2/2011 6:00","40849.25","40849","0.25","5.719","1.886","92.6","0.1848","8.045","2.45","92.3","0.1935","5.179","1.94","95.2","0.3597"
"11/2/2011 7:00","40849.29167","40849","0.291666667","5.642","2.047","92.8","0.1862","7.97","2.584","92.4","0.1928","5.05","2.182","95.3","0.3597"
"11/2/2011 8:00","40849.33333","40849","0.333333333","5.539","3.67","92.9","0.1855","7.895","3.591","92.6","0.1928","4.999","3.906","95.6","0.3601"
"11/2/2011 9:00","40849.375","40849","0.375","5.539","7.795","93.2","0.1884","7.895","6.813","93.1","0.1928","5.231","7.945","96","0.3592"
"11/2/2011 10:00","40849.41667","40849","0.416666667","5.796","14.098","85.4","0.192","7.995","12.485","89.9","0.1928","5.796","13.185","93.3","0.3584"
"11/2/2011 11:00","40849.45833","40849","0.458333333","6.331","15.485","70.7","0.1935","8.27","14.385","73.4","0.1928","6.94","15.986","72.6","0.358"
"11/2/2011 12:00","40849.5","40849","0.5","6.99","17.891","63.1","0.1913","8.618","17.034","65.8","0.192","8.27","18.723","62.3","0.3575"
"11/2/2011 13:00","40849.54167","40849","0.541666667","7.619","18.319","55.5","0.192","8.99","17.724","58.6","0.192","9.657","20.365","52.9","0.3567"
"11/2/2011 14:00","40849.58333","40849","0.583333333","8.045","17.225","54.9","0.1899","9.287","17.32","56","0.1906","10.932","19.532","51.2","0.3567"
"11/2/2011 15:00","40849.625","40849","0.625","8.27","16.677","57.5","0.1899","9.46","17.011","58.1","0.1906","11.224","17.439","55.3","0.3567"
"11/2/2011 16:00","40849.66667","40849","0.666666667","8.444","16.082","55.9","0.1906","9.583","16.701","55.4","0.1899","11.053","16.058","57.7","0.3575"
"11/2/2011 17:00","40849.70833","40849","0.708333333","8.494","14.337","56","0.1906","9.657","15.247","56.4","0.1891","10.761","13.401","61.6","0.3575"
"11/2/2011 18:00","40849.75","40849","0.75","8.444","11.832","62.9","0.192","9.706","13.401","61.3","0.1884","10.369","10.785","68.5","0.358"
"11/2/2011 19:00","40849.79167","40849","0.791666667","8.27","11.589","65.9","0.192","9.682","12.871","63.8","0.1884","9.805","11.419","70.9","0.3584"
"11/2/2011 20:00","40849.83333","40849","0.833333333","8.07","11.734","62","0.1906","9.682","12.654","63.3","0.1884","9.509","11.127","68.6","0.3584"
"11/2/2011 21:00","40849.875","40849","0.875","7.995","12.654","61.7","0.1906","9.657","13.497","61.5","0.1877","9.336","12.678","68.6","0.3584"
"11/2/2011 22:00","40849.91667","40849","0.916666667","7.97","12.098","61.8","0.1942","9.657","12.944","61.5","0.187","9.287","12.582","63.6","0.3584"
"11/2/2011 23:00","40849.95833","40849","0.958333333","7.97","11.589","63.7","0.1949","9.632","12.34","65.9","0.187","9.188","12.025","64.6","0.3584"
"11/3/2011 0:00","40850","40850","0","7.87","9.854","65.7","0.192","9.632","10.712","66","0.1862","8.916","9.139","69.1","0.3584"
"11/3/2011 1:00","40850.04167","40850","0.041666667","7.72","8.245","70.2","0.1928","9.608","9.534","73.2","0.1862","8.543","7.569","76.7","0.3588"
"11/3/2011 2:00","40850.08333","40850","0.083333333","7.519","7.77","75.6","0.1928","9.558","8.419","77","0.1855","8.195","6.077","84.4","0.3588"
"11/3/2011 3:00","40850.125","40850","0.125","7.343","8.494","76.8","0.192","9.509","9.977","74.8","0.1855","7.87","7.97","86.9","0.3592"
"11/3/2011 4:00","40850.16667","40850","0.166666667","7.242","8.519","74.8","0.192","9.46","8.99","75","0.1848","7.82","8.817","79.3","0.3588"
"11/3/2011 5:00","40850.20833","40850","0.208333333","7.217","8.866","76.8","0.1913","9.41","10.565","73.8","0.1855","7.77","8.27","82.7","0.3592"
"11/3/2011 6:00","40850.25","40850","0.25","7.167","6.914","80.5","0.1906","9.386","8.519","76.3","0.1848","7.594","7.368","82.8","0.3592"
"11/3/2011 7:00","40850.29167","40850","0.291666667","7.066","7.116","84.1","0.192","9.361","8.319","82.6","0.1848","7.419","6.813","88.2","0.3588"
"11/3/2011 8:00","40850.33333","40850","0.333333333","6.99","8.99","83.5","0.1899","9.336","9.608","82.2","0.1848","7.393","9.238","89.6","0.3597"
"11/3/2011 9:00","40850.375","40850","0.375","7.091","10.369","80.4","0.1913","9.312","9.928","79.4","0.184","7.72","10.59","81.9","0.3588"
"11/3/2011 10:00","40850.41667","40850","0.416666667","7.343","10.883","78.6","0.1891","9.336","10.492","80.7","0.184","8.17","11.297","80.4","0.3588"
"11/3/2011 11:00","40850.45833","40850","0.458333333","7.619","11.321","76.3","0.1884","9.386","10.883","79","0.184","8.693","11.734","78.2","0.3588"
"11/3/2011 12:00","40850.5","40850","0.5","7.87","10.345","73.8","0.1899","9.41","10.026","76.2","0.184","9.139","10.638","75.3","0.3584"
"11/3/2011 13:00","40850.54167","40850","0.541666667","8.045","9.879","73.3","0.1877","9.41","9.657","75.6","0.1833","9.287","10.443","74.8","0.3575"
"11/3/2011 14:00","40850.58333","40850","0.583333333","8.12","8.965","75.2","0.1899","9.41","8.618","77.5","0.1833","9.287","9.064","77","0.3584"
"11/3/2011 15:00","40850.625","40850","0.625","8.12","8.369","77.5","0.1891","9.361","8.319","79.8","0.1826","9.114","8.643","79.5","0.3575"
"11/3/2011 16:00","40850.66667","40850","0.666666667","8.095","8.02","79.1","0.1884","9.312","8.095","80.9","0.1833","9.015","8.295","81.1","0.3575"
"11/3/2011 17:00","40850.70833","40850","0.708333333","8.07","7.97","80.1","0.1906","9.262","8.02","81.9","0.1826","8.866","8.22","81.8","0.3575"
"11/3/2011 18:00","40850.75","40850","0.75","8.02","7.494","77.7","0.1906","9.213","7.745","79.1","0.1826","8.717","7.845","79.8","0.3571"
"11/3/2011 19:00","40850.79167","40850","0.791666667","7.92","6.864","76.4","0.1891","9.163","7.217","77.4","0.1826","8.469","7.192","78.7","0.358"
"11/3/2011 20:00","40850.83333","40850","0.833333333","7.82","5.231","77.2","0.1906","9.089","6.102","77.2","0.1826","8.145","6","78.6","0.358"
"11/3/2011 21:00","40850.875","40850","0.875","7.619","4.844","80.7","0.1906","9.015","5.719","79.9","0.1826","7.77","5.693","81.1","0.358"
"11/3/2011 22:00","40850.91667","40850","0.916666667","7.393","4.141","81.7","0.1913","8.941","5.179","80.8","0.1819","7.419","4.818","82","0.3571"
"11/3/2011 23:00","40850.95833","40850","0.958333333","7.192","3.459","83.3","0.1913","8.841","4.454","81.7","0.1819","7.091","4.376","83.4","0.3567"
"11/4/2011 0:00","40851","40851","0","6.965","3.036","81.4","0.1913","8.742","4.194","80.2","0.1819","6.763","3.775","82","0.3575"
"11/4/2011 1:00","40851.04167","40851","0.041666667","6.788","1.153","83.9","0.1935","8.643","2.343","83.2","0.1819","6.382","1.507","84.8","0.3571"
"11/4/2011 2:00","40851.08333","40851","0.083333333","6.535","0.605","86.9","0.1891","8.519","1.859","85.4","0.1819","5.898","1.643","87.9","0.3571"
"11/4/2011 3:00","40851.125","40851","0.125","6.281","0.934","85","0.1906","8.394","1.778","84.3","0.1811","5.514","1.289","85.9","0.3575"
"11/4/2011 4:00","40851.16667","40851","0.166666667","6.051","0.66","83.9","0.1906","8.27","1.697","82.7","0.1811","5.205","1.561","84.7","0.358"
"11/4/2011 5:00","40851.20833","40851","0.208333333","5.898","0.495","82.5","0.1942","8.145","1.643","80.6","0.1811","4.947","1.262","82.3","0.358"
