"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"1/1/2011 0:00","40544","40544","0","-0.087","7.192","90.5","0.1223","0.301","6.965","91.6","0.0998","0.024","4.089","93.7","1.3265"
"1/1/2011 1:00","40544.04167","40544","0.041666667","-0.087","5.334","91.2","0.1238","0.329","5.179","92","0.1005","0.024","3.88","94.5","1.3273"
"1/1/2011 2:00","40544.08333","40544","0.083333333","-0.059","5.102","91.6","0.1245","0.301","5.05","92.5","0.1012","0.024","4.141","94.7","1.3331"
"1/1/2011 3:00","40544.125","40544","0.125","-0.059","5.024","92","0.1259","0.329","4.818","92.7","0.1012","0.024","4.194","95","1.3345"
"1/1/2011 4:00","40544.16667","40544","0.166666667","-0.059","5.565","92","0.1274","0.329","5.205","92.9","0.1027","0.024","4.921","95.4","1.3418"
"1/1/2011 5:00","40544.20833","40544","0.208333333","-0.059","5.796","91.6","0.1296","0.329","5.462","92.8","0.1034","0.024","4.921","95.4","1.3425"
"1/1/2011 6:00","40544.25","40544","0.25","-0.059","5.872","91.3","0.131","0.329","5.514","92.6","0.1042","0.024","5.154","95.5","1.3345"
"1/1/2011 7:00","40544.29167","40544","0.291666667","-0.059","5.616","91.1","0.1339","0.329","5.385","92.6","0.1056","0.024","4.662","95.4","1.3345"
"1/1/2011 8:00","40544.33333","40544","0.333333333","-0.059","5.949","91.6","0.1514","0.356","5.668","93","0.1078","0.024","4.895","95.5","1.3331"
"1/1/2011 9:00","40544.375","40544","0.375","-0.059","5.616","92.1","0.1797","0.356","5.411","93.3","0.1114","0.051","4.921","95.7","1.3353"
"1/1/2011 10:00","40544.41667","40544","0.416666667","-0.059","5.745","92.4","0.2254","0.356","5.385","93.5","0.118","0.051","5.282","95.8","1.336"
"1/1/2011 11:00","40544.45833","40544","0.458333333","-0.059","6.408","92.6","0.2298","0.356","5.616","93.6","0.1281","0.051","6.077","95.9","1.3447"
"1/1/2011 12:00","40544.5","40544","0.5","-0.031","7.695","92.9","0.2342","0.356","6.712","94","0.1434","0.051","7.619","96.1","1.3411"
"1/1/2011 13:00","40544.54167","40544","0.541666667","-0.031","10.98","93.2","0.2378","0.384","10.761","94.4","0.1673","0.024","10.81","96.4","1.3483"
"1/1/2011 14:00","40544.58333","40544","0.583333333","-0.031","11.589","93","0.2233","0.412","11.273","94.6","0.179","0.024","11.224","96.4","1.3476"
"1/1/2011 15:00","40544.625","40544","0.625","-0.031","11.759","92.4","0.2167","0.439","11.443","93.9","0.1819","0.024","11.516","96","1.3462"
"1/1/2011 16:00","40544.66667","40544","0.666666667","-0.031","11.637","92.2","0.2153","0.467","11.565","93.6","0.1819","0.024","11.346","95.7","1.3433"
"1/1/2011 17:00","40544.70833","40544","0.708333333","-0.031","10.541","91.8","0.2167","0.495","10.32","93.2","0.1804","0.051","10.124","95.3","1.3411"
"1/1/2011 18:00","40544.75","40544","0.75","-0.031","9.262","87","0.2138","0.522","9.188","88.1","0.1782","0.051","8.891","92","1.3374"
