"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"4/1/2015 0:00","42095","42095","0","-0.171","-2.16","69.9","-0.1334","-0.032","-0.563","68.6","0.1368","0.079","-2.276","70.3","0.192"
"4/1/2015 1:00","42095.04167","42095","0.041666667","-0.143","-2.073","65.4","-0.1348","-0.032","-1.157","69.8","0.1368","0.079","-1.384","66.4","0.1928"
"4/1/2015 2:00","42095.08333","42095","0.083333333","-0.143","-2.421","59.6","-0.1363","-0.032","-1.213","66.4","0.1368","0.079","-1.699","57.5","0.1928"
"4/1/2015 3:00","42095.125","42095","0.125","-0.143","-2.654","59.2","-0.1377","-0.032","-1.584","58.3","0.1368","0.079","-2.16","56.1","0.1935"
"4/1/2015 4:00","42095.16667","42095","0.166666667","-0.143","-3.598","59.7","-0.1399","-0.032","-2.102","58.5","0.1376","0.079","-3.657","58.4","0.1935"
"4/1/2015 5:00","42095.20833","42095","0.208333333","-0.171","-4.167","62.3","-0.1421","-0.032","-2.918","59.1","0.1376","0.051","-3.956","66.9","0.1942"
"4/1/2015 6:00","42095.25","42095","0.25","-0.171","-4.378","67","-0.1442","-0.032","-3.006","61.1","0.1376","0.079","-3.777","68.4","0.1949"
"4/1/2015 7:00","42095.29167","42095","0.291666667","-0.199","-1.27","68.9","-0.1464","-0.032","-3.36","65.9","0.1376","0.079","-0.563","69.9","0.1949"
"4/1/2015 8:00","42095.33333","42095","0.333333333","-0.199","2.423","55.5","-0.1464","-0.032","-3.094","70.9","0.1383","0.079","1.751","55.7","0.1957"
"4/1/2015 9:00","42095.375","42095","0.375","-0.227","3.009","42.3","-0.1479","-0.032","0.024","64.8","0.1383","0.079","3.221","42.2","0.1957"
"4/1/2015 10:00","42095.41667","42095","0.416666667","-0.227","4.454","34.9","-0.1479","-0.032","2.155","48.4","0.1383","0.079","4.792","31.3","0.1964"
"4/1/2015 11:00","42095.45833","42095","0.458333333","-0.227","5.334","36","-0.1472","-0.032","3.274","35","0.1383","0.079","5.462","32.7","0.1964"
"4/1/2015 12:00","42095.5","42095","0.5","-0.199","6.509","37.6","-0.1472","-0.032","3.775","35.6","0.1383","0.079","5.796","33.6","0.1971"
"4/1/2015 13:00","42095.54167","42095","0.541666667","-0.199","6.914","35.3","-0.1472","-0.032","4.141","38.9","0.1383","0.246","7.142","31.1","0.1971"
