"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"6/1/2015 0:00","42156","42156","0","13.185","7.67","89.9","0.2189","11.71","7.87","89.7","0.1768","10.932","8.866","85.3","0.3046"
"6/1/2015 1:00","42156.04167","42156","0.041666667","13.112","7.97","89.9","0.2167","11.637","8.07","88.5","0.1753","10.932","9.114","83.7","0.3032"
"6/1/2015 2:00","42156.08333","42156","0.083333333","13.04","8.045","89.2","0.2153","11.589","8.27","87.7","0.1746","10.956","9.485","82.5","0.3017"
"6/1/2015 3:00","42156.125","42156","0.125","12.992","8.27","89.2","0.2138","11.54","8.643","86.9","0.1739","10.98","9.336","81.3","0.301"
"6/1/2015 4:00","42156.16667","42156","0.166666667","12.944","8.394","87.2","0.2124","11.492","8.17","87.4","0.1732","11.029","9.163","83.1","0.3003"
"6/1/2015 5:00","42156.20833","42156","0.208333333","12.92","8.369","83.8","0.2095","11.467","8.27","91.7","0.1724","10.98","8.916","82.2","0.2995"
"6/1/2015 6:00","42156.25","42156","0.25","12.896","8.494","82.8","0.2073","11.443","8.195","89.9","0.1717","10.932","8.767","81.3","0.2981"
"6/1/2015 7:00","42156.29167","42156","0.291666667","12.847","9.854","80.8","0.2051","11.394","7.995","88.8","0.171","11.053","9.608","80.8","0.2981"
"6/1/2015 8:00","42156.33333","42156","0.333333333","12.847","12.534","78.1","0.2029","11.346","8.519","87.7","0.1702","11.443","11.662","77.2","0.2966"
"6/1/2015 9:00","42156.375","42156","0.375","12.944","12.509","75.8","0.2022","11.321","10.173","85.7","0.1695","12.147","12.316","73.4","0.2966"
"6/1/2015 10:00","42156.41667","42156","0.416666667","13.112","14.146","74.7","0.2015","11.321","11.029","81.4","0.1688","12.751","14.337","73.1","0.2959"
"6/1/2015 11:00","42156.45833","42156","0.458333333","13.257","13.81","73.8","0.2","11.321","11.904","81.4","0.1681","13.425","14.026","71.1","0.2952"
"6/1/2015 12:00","42156.5","42156","0.5","13.425","13.546","73.9","0.1993","11.37","12.727","79.3","0.1673","13.81","13.978","72.3","0.2952"
"6/1/2015 13:00","42156.54167","42156","0.541666667","13.546","15.318","71.6","0.1986","11.443","12.171","79.2","0.1666","14.314","15.366","71","0.2944"
"6/1/2015 14:00","42156.58333","42156","0.583333333","13.714","15.796","69.9","0.1971","11.492","12.992","80","0.1659","15.151","16.153","68.3","0.2937"
"6/1/2015 15:00","42156.625","42156","0.625","13.882","16.201","69.8","0.1957","11.54","13.93","77.9","0.1652","15.867","16.463","68.2","0.2937"
"6/1/2015 16:00","42156.66667","42156","0.666666667","14.074","16.034","69.6","0.1949","11.637","13.834","77.3","0.1644","16.296","16.106","68.2","0.293"
"6/1/2015 17:00","42156.70833","42156","0.708333333","14.194","14.122","71.6","0.1942","11.71","13.594","76.5","0.1637","16.177","14.721","70.5","0.293"
"6/1/2015 18:00","42156.75","42156","0.75","14.218","12.968","74.9","0.1935","11.759","13.016","78.4","0.1623","15.772","13.786","73.3","0.2923"
"6/1/2015 19:00","42156.79167","42156","0.791666667","14.17","12.05","78.6","0.1928","11.783","12.582","79.7","0.1615","15.247","12.678","76.6","0.2923"
"6/1/2015 20:00","42156.83333","42156","0.833333333","14.05","10.614","83","0.192","11.807","12.025","82","0.1615","14.649","11.734","79.9","0.2923"
"6/1/2015 21:00","42156.875","42156","0.875","13.882","9.46","86.6","0.192","11.783","11.394","85.4","0.1608","14.05","10.663","84.6","0.2915"
"6/1/2015 22:00","42156.91667","42156","0.916666667","13.642","9.114","88.6","0.192","11.783","10.663","88.1","0.1601","13.449","9.558","89.2","0.2915"
"6/1/2015 23:00","42156.95833","42156","0.958333333","13.377","8.792","90.1","0.192","11.734","9.854","90.6","0.1601","12.896","8.916","92.1","0.2915"
"6/2/2015 0:00","42157","42157","0","13.112","8.369","91.2","0.1913","11.686","9.312","92.3","0.1594","12.413","8.469","93.8","0.2915"
"6/2/2015 1:00","42157.04167","42157","0.041666667","12.871","8.22","91.9","0.1913","11.637","8.99","93.6","0.1594","12.025","7.995","95","0.2915"
"6/2/2015 2:00","42157.08333","42157","0.083333333","12.654","7.82","92.2","0.1913","11.589","8.742","94.4","0.1586","11.662","7.645","95.8","0.2915"
"6/2/2015 3:00","42157.125","42157","0.125","12.461","7.469","92.5","0.1913","11.516","8.319","94.8","0.1586","11.346","7.419","96.3","0.2908"
"6/2/2015 4:00","42157.16667","42157","0.166666667","12.316","7.343","92.7","0.1913","11.467","8.095","95.1","0.1579","11.078","7.419","96.7","0.2908"
"6/2/2015 5:00","42157.20833","42157","0.208333333","12.171","7.015","92.9","0.1928","11.394","7.995","95.4","0.1579","10.834","7.091","97.1","0.2908"
"6/2/2015 6:00","42157.25","42157","0.25","12.025","8.369","93.1","0.1935","11.321","7.594","95.5","0.1572","10.663","10.492","97.2","0.2908"
"6/2/2015 7:00","42157.29167","42157","0.291666667","11.953","14.17","92.2","0.192","11.248","7.795","95.7","0.1572","10.932","15.079","95.5","0.2908"
"6/2/2015 8:00","42157.33333","42157","0.333333333","12.122","15.414","80","0.1906","11.2","9.805","96.1","0.1572","11.589","16.868","79.5","0.2908"
