"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"12/1/2013 0:00","41609","41609","0","0.163","0.989","76.6","0.1601","1.805","0.88","81.4","0.179","0.577","1.94","80.2","0.2944"
"12/1/2013 1:00","41609.04167","41609","0.041666667","0.163","0.742","78.1","0.1608","1.832","0.962","82.4","0.1797","0.577","2.262","80.9","0.2944"
"12/1/2013 2:00","41609.08333","41609","0.083333333","0.163","1.724","79.2","0.1608","1.859","1.153","83.4","0.179","0.605","1.724","81.8","0.2944"
"12/1/2013 3:00","41609.125","41609","0.125","0.163","1.344","79.4","0.1615","1.886","0.88","84.4","0.179","0.605","0.577","84.7","0.2937"
"12/1/2013 4:00","41609.16667","41609","0.166666667","0.163","0.88","82.1","0.1615","1.913","0.77","85.5","0.179","0.632","1.18","86.8","0.2944"
"12/1/2013 5:00","41609.20833","41609","0.208333333","0.163","1.099","82.9","0.1623","1.94","0.66","86","0.1797","0.632","-0.032","87.9","0.2944"
"12/1/2013 6:00","41609.25","41609","0.25","0.19","0.467","83.8","0.163","1.94","0.632","87.1","0.179","0.66","-0.088","90.7","0.2944"
"12/1/2013 7:00","41609.29167","41609","0.291666667","0.19","0.467","84.9","0.163","1.967","0.273","87.8","0.179","0.687","-0.116","91.8","0.2944"
"12/1/2013 8:00","41609.33333","41609","0.333333333","0.19","0.439","85.3","0.1637","1.994","0.329","88.5","0.1797","0.687","0.163","92.5","0.2952"
"12/1/2013 9:00","41609.375","41609","0.375","0.19","0.522","85.9","0.1637","2.021","1.017","88.7","0.1797","0.715","1.751","92.9","0.2952"
"12/1/2013 10:00","41609.41667","41609","0.416666667","0.19","2.047","85.5","0.1644","2.047","2.074","88.1","0.1797","0.742","2.797","90.9","0.2952"
"12/1/2013 11:00","41609.45833","41609","0.458333333","0.19","3.063","83.3","0.1652","2.101","2.289","87.4","0.1797","0.77","3.221","88.9","0.2952"
"12/1/2013 12:00","41609.5","41609","0.5","0.19","2.903","83.2","0.1688","2.155","2.717","90.4","0.1797","0.77","3.564","91.4","0.2966"
"12/1/2013 13:00","41609.54167","41609","0.541666667","0.218","3.564","87.3","0.1826","2.236","2.423","91.7","0.1804","0.797","2.983","93.3","0.2981"
"12/1/2013 14:00","41609.58333","41609","0.583333333","0.218","2.77","88.2","0.179","2.316","2.289","92.2","0.1819","0.797","2.61","94.5","0.2995"
"12/1/2013 15:00","41609.625","41609","0.625","0.218","2.396","89.6","0.1768","2.37","2.101","92.6","0.1826","0.825","2.557","95.6","0.2995"
"12/1/2013 16:00","41609.66667","41609","0.666666667","0.218","2.343","90.2","0.1797","2.423","2.047","93.2","0.1833","0.88","2.289","96.2","0.2995"
"12/1/2013 17:00","41609.70833","41609","0.708333333","0.246","2.101","90.7","0.1819","2.477","1.805","93.6","0.1833","0.88","1.94","96.7","0.2995"
"12/1/2013 18:00","41609.75","41609","0.75","0.246","1.643","91.2","0.184","2.503","1.724","93.9","0.1833","0.907","1.94","97.2","0.2988"
"12/1/2013 19:00","41609.79167","41609","0.791666667","0.246","1.697","91.6","0.1855","2.53","1.697","94.1","0.184","0.934","1.913","97.7","0.2988"
