"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"6/1/2016 0:00","42522","42522","0","17.201","13.57","67.2","0.017","14.984","14.888","69.8","0.0511","21.867","14.96","65.4","0.4049"
"6/1/2016 1:00","42522.04167","42522","0.041666667","16.773","11.807","74.1","0.017","14.84","13.738","72.8","0.0511","21.533","14.84","68.9","0.4049"
"6/1/2016 2:00","42522.08333","42522","0.083333333","16.296","11.856","78.6","0.017","14.721","13.714","76.1","0.0511","21.175","14.529","72","0.4049"
"6/1/2016 3:00","42522.125","42522","0.125","15.867","12.389","74.9","0.017","14.601","14.122","73","0.0511","20.865","14.505","70.7","0.4049"
"6/1/2016 4:00","42522.16667","42522","0.166666667","15.533","12.485","72.8","0.017","14.481","13.69","70.9","0.0511","20.579","14.074","69.6","0.4041"
"6/1/2016 5:00","42522.20833","42522","0.208333333","15.27","11.637","74.6","0.017","14.361","13.112","72.1","0.0511","20.317","13.353","71.6","0.4041"
"6/1/2016 6:00","42522.25","42522","0.25","15.031","13.112","77.2","0.0177","14.242","13.353","75.6","0.0511","20.055","14.649","73.3","0.4041"
"6/1/2016 7:00","42522.29167","42522","0.291666667","14.984","14.84","76","0.0177","14.146","13.786","77.8","0.0511","19.793","16.082","73.7","0.4041"
"6/1/2016 8:00","42522.33333","42522","0.333333333","15.151","16.415","65.8","0.0177","14.074","14.481","73","0.0511","19.579","16.534","67.4","0.4041"
"6/1/2016 9:00","42522.375","42522","0.375","15.485","17.153","61","0.0177","14.026","14.96","69.9","0.0511","19.436","17.486","63.9","0.4049"
"6/1/2016 10:00","42522.41667","42522","0.416666667","15.915","17.034","62.2","0.017","14.026","14.864","70.7","0.0504","19.365","17.13","64.8","0.4049"
"6/1/2016 11:00","42522.45833","42522","0.458333333","16.344","18.39","60.3","0.0177","14.002","15.986","69.8","0.0504","19.46","18.224","62.7","0.4049"
"6/1/2016 12:00","42522.5","42522","0.5","16.844","18.652","59.3","0.017","14.026","16.177","69.5","0.0504","19.793","17.082","64.5","0.4041"
"6/1/2016 13:00","42522.54167","42522","0.541666667","17.249","18.675","56.3","0.0163","14.026","16.677","66.8","0.0497","20.293","18.557","63.1","0.4041"
"6/1/2016 14:00","42522.58333","42522","0.583333333","17.534","19.555","54.6","0.017","14.05","16.963","64.7","0.0497","20.746","19.484","60.2","0.4041"
"6/1/2016 15:00","42522.625","42522","0.625","17.724","18.247","55.1","0.0163","14.074","16.487","65.1","0.049","21.27","17.796","61.1","0.4034"
"6/1/2016 16:00","42522.66667","42522","0.666666667","17.796","18.176","59.1","0.0163","14.074","16.939","67.5","0.049","21.819","17.962","63.9","0.4034"
"6/1/2016 17:00","42522.70833","42522","0.708333333","17.748","19.008","61.2","0.0155","14.074","17.249","68.3","0.049","22.058","17.796","66","0.4034"
"6/1/2016 18:00","42522.75","42522","0.75","17.653","18.39","60.3","0.0155","14.05","16.939","69.1","0.0482","21.963","17.368","67.2","0.4034"
"6/1/2016 19:00","42522.79167","42522","0.791666667","17.486","15.318","67","0.0155","14.05","16.439","70.2","0.049","21.676","16.749","68.7","0.4027"
"6/1/2016 20:00","42522.83333","42522","0.833333333","17.177","13.618","73.2","0.0155","14.026","15.27","73.4","0.049","21.294","15.724","71.9","0.4034"
"6/1/2016 21:00","42522.875","42522","0.875","16.773","12.582","80.6","0.0155","13.978","14.002","78.7","0.049","20.936","14.529","74.8","0.4027"
"6/1/2016 22:00","42522.91667","42522","0.916666667","16.32","12.437","81.3","0.0155","13.93","13.954","79.8","0.049","20.65","13.786","77.8","0.4027"
"6/1/2016 23:00","42522.95833","42522","0.958333333","15.939","13.305","82.7","0.0155","13.858","13.834","81.4","0.049","20.365","14.337","81","0.4027"
"6/2/2016 0:00","42523","42523","0","15.7","14.002","80.8","0.0155","13.81","14.481","80.9","0.049","20.079","14.768","79.7","0.4027"
"6/2/2016 1:00","42523.04167","42523","0.041666667","15.581","14.745","77.1","0.0163","13.762","14.984","77.9","0.049","19.841","15.414","77.4","0.4027"
"6/2/2016 2:00","42523.08333","42523","0.083333333","15.533","15.055","76.7","0.0163","13.738","15.438","77.9","0.049","19.674","15.915","75.1","0.4027"
"6/2/2016 3:00","42523.125","42523","0.125","15.533","15.151","76.8","0.0163","13.738","15.294","78.4","0.049","19.508","15.772","75.6","0.4027"
"6/2/2016 4:00","42523.16667","42523","0.166666667","15.533","15.031","78.1","0.0163","13.714","15.223","79.8","0.049","19.389","16.249","77.7","0.4027"
"6/2/2016 5:00","42523.20833","42523","0.208333333","15.509","14.745","79.2","0.0192","13.714","15.27","80.4","0.049","19.294","15.509","78","0.4027"
"6/2/2016 6:00","42523.25","42523","0.25","15.509","15.055","89.3","0.0199","13.69","14.601","88.8","0.049","19.199","15.796","85.8","0.4027"
"6/2/2016 7:00","42523.29167","42523","0.291666667","15.557","16.534","92.1","0.0192","13.69","15.963","92","0.049","19.103","16.725","89.4","0.4027"
"6/2/2016 8:00","42523.33333","42523","0.333333333","15.676","18.176","85.7","0.0177","13.714","16.773","89.4","0.049","19.032","18.366","87.3","0.4027"
"6/2/2016 9:00","42523.375","42523","0.375","15.915","21.342","71.3","0.017","13.786","18.747","80","0.049","19.032","22.609","72.6","0.399"
"6/2/2016 10:00","42523.41667","42523","0.416666667","16.32","26.012","65","0.0177","13.882","21.891","77.7","0.049","19.103","24.919","64.7","0.399"
"6/2/2016 11:00","42523.45833","42523","0.458333333","16.987","28.568","56.5","0.0177","14.05","24.944","72.1","0.0482","19.318","27.899","59.9","0.399"
"6/2/2016 12:00","42523.5","42523","0.5","17.796","27.677","54.3","0.017","14.266","25.453","68.5","0.0475","19.793","27.333","58.7","0.399"
"6/2/2016 13:00","42523.54167","42523","0.541666667","18.485","28.916","57.3","0.017","14.481","26.426","68.6","0.0468","20.484","28.444","58.8","0.399"
"6/2/2016 14:00","42523.58333","42523","0.583333333","18.985","30.293","54.5","0.017","14.697","26.94","66.1","0.046","21.151","29.865","57","0.399"
"6/2/2016 15:00","42523.625","42523","0.625","19.508","31.535","37.4","0.017","14.912","28.493","47.5","0.0453","21.795","30.469","43.6","0.3969"
"6/2/2016 16:00","42523.66667","42523","0.666666667","20.007","29.941","32.4","0.0163","15.079","28.419","38.5","0.0446","22.489","28.568","36.8","0.3816"
"6/2/2016 17:00","42523.70833","42523","0.708333333","20.293","28.097","33.7","0.0155","15.175","27.53","39.3","0.0446","22.992","27.431","38","0.3816"
"6/2/2016 18:00","42523.75","42523","0.75","20.317","27.702","37.3","0.0155","15.223","26.549","41.9","0.0439","23.136","27.063","39.5","0.3802"
"6/2/2016 19:00","42523.79167","42523","0.791666667","20.174","24.243","40.7","0.0148","15.27","25.065","44","0.0439","23.04","25.283","40.5","0.3802"
"6/2/2016 20:00","42523.83333","42523","0.833333333","19.817","21.987","46","0.0155","15.294","23.232","47.4","0.0439","22.872","23.617","46.2","0.3794"
"6/2/2016 21:00","42523.875","42523","0.875","19.318","20.579","55.5","0.0148","15.27","21.199","56.6","0.0439","22.633","21.461","53.1","0.3794"
"6/2/2016 22:00","42523.91667","42523","0.916666667","18.818","19.08","60.2","0.0148","15.247","19.318","64.9","0.0439","22.345","20.007","58.9","0.3794"
"6/2/2016 23:00","42523.95833","42523","0.958333333","18.343","16.987","65.6","0.0148","15.175","18.319","68.6","0.0446","22.034","18.033","63.8","0.3787"
"6/3/2016 0:00","42524","42524","0","17.867","16.201","71.2","0.0148","15.103","17.51","72.1","0.0453","21.724","16.582","71.4","0.3787"
"6/3/2016 1:00","42524.04167","42524","0.041666667","17.368","15.461","75.7","0.0148","15.008","16.368","76","0.0446","21.366","15.318","76.5","0.378"
"6/3/2016 2:00","42524.08333","42524","0.083333333","16.915","14.385","81","0.0148","14.912","15.366","81.1","0.0446","21.008","14.84","82.9","0.378"
"6/3/2016 3:00","42524.125","42524","0.125","16.511","14.05","85.1","0.0148","14.792","14.936","83.9","0.0446","20.65","14.026","85.4","0.378"
"6/3/2016 4:00","42524.16667","42524","0.166666667","16.129","13.209","86.3","0.0148","14.697","14.194","84.7","0.0446","20.317","13.762","86.9","0.378"
"6/3/2016 5:00","42524.20833","42524","0.208333333","15.772","12.871","88.5","0.0155","14.577","13.738","86.3","0.0446","19.984","13.618","88","0.3773"
"6/3/2016 6:00","42524.25","42524","0.25","15.485","13.906","88.7","0.0155","14.481","14.577","87.3","0.0453","19.651","18.652","86.9","0.3773"
