"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"4/1/2016 0:00","42461","42461","0","8.02","13.401","88","0.2429","7.594","13.57","89.8","0.2087","9.336","13.425","92.7","0.4666"
"4/1/2016 1:00","42461.04167","42461","0.041666667","7.945","12.968","82.7","0.2363","7.594","13.112","86","0.2022","9.386","12.799","86.9","0.4673"
"4/1/2016 2:00","42461.08333","42461","0.083333333","7.845","12.122","84.1","0.2327","7.594","12.219","85.9","0.1971","9.386","11.759","87.2","0.4673"
"4/1/2016 3:00","42461.125","42461","0.125","7.695","11.175","83.1","0.2298","7.544","11.54","84.3","0.1935","9.361","11.224","86.7","0.468"
"4/1/2016 4:00","42461.16667","42461","0.166666667","7.519","10.736","82.7","0.2262","7.494","11.102","84.4","0.1913","9.287","10.834","85.8","0.468"
"4/1/2016 5:00","42461.20833","42461","0.208333333","7.368","9.756","84.9","0.2247","7.419","10.32","85.2","0.1884","9.163","9.41","86.4","0.4688"
"4/1/2016 6:00","42461.25","42461","0.25","7.192","9.361","89.9","0.2233","7.343","9.534","88.4","0.187","9.04","8.817","89.3","0.4688"
"4/1/2016 7:00","42461.29167","42461","0.291666667","6.99","10.001","84","0.2218","7.242","9.534","84.5","0.1848","8.916","10.394","88.4","0.4688"
"4/1/2016 8:00","42461.33333","42461","0.333333333","6.914","9.952","81.6","0.2204","7.167","9.41","83.5","0.1833","8.841","9.977","83","0.4688"
"4/1/2016 9:00","42461.375","42461","0.375","6.914","9.558","80","0.2189","7.091","8.767","82.6","0.1819","8.841","9.534","81.2","0.468"
"4/1/2016 10:00","42461.41667","42461","0.416666667","6.914","8.12","81.5","0.2175","7.041","7.544","83.9","0.1804","8.891","8.295","82.2","0.468"
"4/1/2016 11:00","42461.45833","42461","0.458333333","6.914","8.717","79.8","0.216","6.99","7.469","82.5","0.1797","8.941","8.767","81.1","0.468"
"4/1/2016 12:00","42461.5","42461","0.5","6.864","9.064","73.8","0.2153","6.914","8.145","78.8","0.1782","8.99","9.213","75.2","0.4666"
"4/1/2016 13:00","42461.54167","42461","0.541666667","6.889","9.657","66.5","0.2138","6.864","7.695","72.9","0.1775","9.064","9.608","68.2","0.4666"
"4/1/2016 14:00","42461.58333","42461","0.583333333","6.965","8.245","60.5","0.2131","6.839","7.343","69.1","0.1768","9.188","9.952","62.8","0.4659"
"4/1/2016 15:00","42461.625","42461","0.625","7.015","9.04","59.2","0.2124","6.788","6.965","67.3","0.1761","9.312","8.742","60.8","0.4651"
"4/1/2016 16:00","42461.66667","42461","0.666666667","7.041","8.27","56.6","0.2116","6.712","6.813","65.5","0.1753","9.485","8.369","58.3","0.4651"
"4/1/2016 17:00","42461.70833","42461","0.708333333","6.99","7.293","57.2","0.2102","6.611","6.611","64.8","0.1746","9.608","7.544","59.8","0.4651"
"4/1/2016 18:00","42461.75","42461","0.75","6.889","6.408","57.1","0.2095","6.535","6.56","63.4","0.1739","9.632","6.712","59.9","0.4651"
